   Normalised Error  Observed Rho  Calculated Rho  Original Weight  Final Weight C         P+  P-         C+  C-
       -2.98606      0.75975E+04    0.51583E+04     0.25000E+02     0.77118E+01  1         1    4         2    3
       -1.46748      0.26833E+04    0.24376E+04     0.25000E+02     0.15284E+02  1         2    5         3    4
        2.94225      0.23793E+04    0.39305E+04     0.25000E+02     0.58614E+01  1         3    6         4    5
       -0.39465      0.24161E+04    0.23764E+04     0.25000E+02     0.23845E+02  1         4    7         5    6
        0.05970      0.18197E+04    0.18242E+04     0.25000E+02     0.24074E+02  1         5    8         6    7
       -1.47456      0.21461E+04    0.19570E+04     0.25000E+02     0.15987E+02  1         6    9         7    8
        0.27702      0.14105E+04    0.14262E+04     0.25000E+02     0.25000E+02  0         7   10         8    9
       -1.45987      0.10605E+04    0.10003E+04     0.24999E+02     0.24999E+02  0         8   11         9   10
        0.04437      0.12658E+04    0.12680E+04     0.24999E+02     0.24999E+02  0         9   12        10   11
        1.82379      0.12619E+04    0.13858E+04     0.24999E+02     0.19478E+02  1        10   13        11   12
       -1.85371      0.13928E+04    0.12582E+04     0.24999E+02     0.18234E+02  1        11   14        12   13
        0.96569      0.10851E+04    0.11278E+04     0.24999E+02     0.24999E+02  0        12   15        13   14
       -0.25398      0.16222E+04    0.16058E+04     0.25000E+02     0.25000E+02  0        13   16        14   15
       -0.00066      0.14692E+04    0.14692E+04     0.24999E+02     0.24999E+02  0        14   17        15   16
       -1.27040      0.28213E+04    0.26491E+04     0.25000E+02     0.20182E+02  1        15   18        16   17
        0.54752      0.21172E+04    0.21725E+04     0.25000E+02     0.21219E+02  1        16   19        17   18
       -1.15606      0.28638E+04    0.27047E+04     0.25000E+02     0.20220E+02  1        17   20        18   19
       -0.37242      0.26893E+04    0.26495E+04     0.25000E+02     0.25000E+02  0        18   21        19   20
       -0.50063      0.24577E+04    0.24090E+04     0.25000E+02     0.25000E+02  0        19   22        20   21
       -0.23496      0.21737E+04    0.21534E+04     0.25000E+02     0.25000E+02  0        20   23        21   22
       -0.31633      0.23442E+04    0.23147E+04     0.25000E+02     0.25000E+02  0        21   24        22   23
        0.05806      0.18122E+04    0.18164E+04     0.25000E+02     0.25000E+02  0        22   25        23   24
       -0.05861      0.21529E+04    0.21479E+04     0.25000E+02     0.25000E+02  0        23   26        24   25
       -0.06296      0.15970E+04    0.15929E+04     0.24999E+02     0.24999E+02  0        24   27        25   26
       -0.24928      0.18134E+04    0.17954E+04     0.25000E+02     0.25000E+02  0        25   28        26   27
       -0.97036      0.15991E+04    0.15382E+04     0.24999E+02     0.24999E+02  0        26   29        27   28
       -0.69658      0.12599E+04    0.12253E+04     0.24999E+02     0.24999E+02  0        27   30        28   29
        0.04063      0.72511E+03    0.72629E+03     0.24997E+02     0.24997E+02  0        28   31        29   30
       -0.15865      0.76397E+03    0.75914E+03     0.24997E+02     0.24997E+02  0        29   32        30   31
        0.02989      0.69572E+03    0.69655E+03     0.24997E+02     0.24997E+02  0        30   33        31   32
       -0.26161      0.65451E+03    0.64770E+03     0.24996E+02     0.24996E+02  0        31   34        32   33
        0.15143      0.60308E+03    0.60674E+03     0.24995E+02     0.24995E+02  0        32   35        33   34
       -0.12534      0.73602E+03    0.73234E+03     0.24997E+02     0.24997E+02  0        33   36        34   35
       -0.22696      0.70250E+03    0.69615E+03     0.24996E+02     0.24996E+02  0        34   37        35   36
       -0.03605      0.66968E+03    0.66872E+03     0.24996E+02     0.24996E+02  0        35   38        36   37
        0.01251      0.77925E+03    0.77964E+03     0.24997E+02     0.24997E+02  0        36   39        37   38
